
Intensity Mean Ch=6 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
79.475,,Surface,6,Image 1,1,2956,
72.3611,,Surface,6,Image 1,1,2957,
83.3169,,Surface,6,Image 1,1,2958,
74.7819,,Surface,6,Image 1,1,2959,
74.7328,,Surface,6,Image 1,1,2960,
89.9712,,Surface,6,Image 1,1,2961,
73.9333,,Surface,6,Image 1,1,2962,
69.9516,,Surface,6,Image 1,1,2963,
80.5694,,Surface,6,Image 1,1,2964,
64.3475,,Surface,6,Image 1,1,2965,
89,,Surface,6,Image 1,1,2966,
63.4919,,Surface,6,Image 1,1,2967,
68.3981,,Surface,6,Image 1,1,2968,
74,,Surface,6,Image 1,1,2969,
63.057,,Surface,6,Image 1,1,2970,
59.4697,,Surface,6,Image 1,1,2971,
77.7885,,Surface,6,Image 1,1,2972,
63.0625,,Surface,6,Image 1,1,2973,
79.0376,,Surface,6,Image 1,1,2974,
102.843,,Surface,6,Image 1,1,2975,
68.6109,,Surface,6,Image 1,1,2976,
85.6682,,Surface,6,Image 1,1,2977,
79.6458,,Surface,6,Image 1,1,2978,
75.7396,,Surface,6,Image 1,1,2979,
59.2132,,Surface,6,Image 1,1,2980,
93.4554,,Surface,6,Image 1,1,2981,
89.2069,,Surface,6,Image 1,1,2982,
63.6047,,Surface,6,Image 1,1,2983,
64.7217,,Surface,6,Image 1,1,2984,
101.319,,Surface,6,Image 1,1,2985,
77.5,,Surface,6,Image 1,1,2986,
63.1418,,Surface,6,Image 1,1,2987,
61.2969,,Surface,6,Image 1,1,2988,
71.2913,,Surface,6,Image 1,1,2989,
90.686,,Surface,6,Image 1,1,2990,
60.0769,,Surface,6,Image 1,1,2991,
65.7621,,Surface,6,Image 1,1,2992,
66.4877,,Surface,6,Image 1,1,2993,
73.1207,,Surface,6,Image 1,1,2994,
58.6726,,Surface,6,Image 1,1,2995,
75.7,,Surface,6,Image 1,1,2996,
75.0625,,Surface,6,Image 1,1,2997,
79.3919,,Surface,6,Image 1,1,2998,
77.9569,,Surface,6,Image 1,1,2999,
69.6115,,Surface,6,Image 1,1,3000,
91.5917,,Surface,6,Image 1,1,3001,
64.8263,,Surface,6,Image 1,1,3002,
57.6077,,Surface,6,Image 1,1,3003,
90.7759,,Surface,6,Image 1,1,3004,
59.6145,,Surface,6,Image 1,1,3005,
73.8639,,Surface,6,Image 1,1,3006,
56.3587,,Surface,6,Image 1,1,3007,
71.8524,,Surface,6,Image 1,1,3008,
54.2908,,Surface,6,Image 1,1,3009,
75.1524,,Surface,6,Image 1,1,3010,
85.4919,,Surface,6,Image 1,1,3011,
77.1489,,Surface,6,Image 1,1,3012,
86.2956,,Surface,6,Image 1,1,3013,
88.6667,,Surface,6,Image 1,1,3014,
121.154,,Surface,6,Image 1,1,3015,
63.5154,,Surface,6,Image 1,1,3016,
60.0543,,Surface,6,Image 1,1,3017,
