
Distance to Image Border XYZ Img=1
 ==================== 
Distance to Image Border XYZ,Unit,Category,Image,Time,ID,
0,um,Surface,Image 1,1,2960,
0,um,Surface,Image 1,1,2961,
0,um,Surface,Image 1,1,2962,
0,um,Surface,Image 1,1,2963,
0,um,Surface,Image 1,1,2964,
0,um,Surface,Image 1,1,2965,
0,um,Surface,Image 1,1,2966,
0,um,Surface,Image 1,1,2967,
0,um,Surface,Image 1,1,2968,
0,um,Surface,Image 1,1,2969,
0,um,Surface,Image 1,1,2970,
0,um,Surface,Image 1,1,2971,
0,um,Surface,Image 1,1,2972,
0,um,Surface,Image 1,1,2973,
0,um,Surface,Image 1,1,2974,
0,um,Surface,Image 1,1,2975,
0,um,Surface,Image 1,1,2976,
0,um,Surface,Image 1,1,2977,
0,um,Surface,Image 1,1,2978,
0,um,Surface,Image 1,1,2979,
0,um,Surface,Image 1,1,2980,
0,um,Surface,Image 1,1,2981,
0,um,Surface,Image 1,1,2982,
0,um,Surface,Image 1,1,2983,
0,um,Surface,Image 1,1,2984,
0,um,Surface,Image 1,1,2985,
0,um,Surface,Image 1,1,2986,
0,um,Surface,Image 1,1,2987,
0,um,Surface,Image 1,1,2988,
0,um,Surface,Image 1,1,2989,
0,um,Surface,Image 1,1,2990,
0,um,Surface,Image 1,1,2991,
0,um,Surface,Image 1,1,2992,
0,um,Surface,Image 1,1,2993,
0,um,Surface,Image 1,1,2994,
0,um,Surface,Image 1,1,2995,
0,um,Surface,Image 1,1,2996,
0,um,Surface,Image 1,1,2997,
0,um,Surface,Image 1,1,2998,
0,um,Surface,Image 1,1,2999,
0,um,Surface,Image 1,1,3000,
0,um,Surface,Image 1,1,3001,
0,um,Surface,Image 1,1,3002,
0,um,Surface,Image 1,1,3003,
0,um,Surface,Image 1,1,3004,
0,um,Surface,Image 1,1,3005,
0,um,Surface,Image 1,1,3006,
0,um,Surface,Image 1,1,3007,
0,um,Surface,Image 1,1,3008,
0,um,Surface,Image 1,1,3009,
0,um,Surface,Image 1,1,3010,
0,um,Surface,Image 1,1,3011,
0,um,Surface,Image 1,1,3012,
0,um,Surface,Image 1,1,3013,
0,um,Surface,Image 1,1,3014,
0,um,Surface,Image 1,1,3015,
0,um,Surface,Image 1,1,3016,
0,um,Surface,Image 1,1,3017,
0,um,Surface,Image 1,1,3018,
0,um,Surface,Image 1,1,3019,
0,um,Surface,Image 1,1,3020,
0,um,Surface,Image 1,1,3021,
0,um,Surface,Image 1,1,3022,
0,um,Surface,Image 1,1,3023,
0,um,Surface,Image 1,1,3024,
0,um,Surface,Image 1,1,3025,
0,um,Surface,Image 1,1,3026,
0,um,Surface,Image 1,1,3027,
0,um,Surface,Image 1,1,3028,
0,um,Surface,Image 1,1,3029,
0,um,Surface,Image 1,1,3030,
0,um,Surface,Image 1,1,3031,
0,um,Surface,Image 1,1,3032,
0,um,Surface,Image 1,1,3033,
0,um,Surface,Image 1,1,3034,
0,um,Surface,Image 1,1,3035,
0,um,Surface,Image 1,1,3036,
0,um,Surface,Image 1,1,3037,
0,um,Surface,Image 1,1,3038,
0,um,Surface,Image 1,1,3039,
0,um,Surface,Image 1,1,3040,
0,um,Surface,Image 1,1,3041,
0,um,Surface,Image 1,1,3042,
0,um,Surface,Image 1,1,3043,
0,um,Surface,Image 1,1,3044,
0,um,Surface,Image 1,1,3045,
0,um,Surface,Image 1,1,3046,
0,um,Surface,Image 1,1,3047,
0,um,Surface,Image 1,1,3048,
0,um,Surface,Image 1,1,3049,
0,um,Surface,Image 1,1,3050,
0,um,Surface,Image 1,1,3051,
0,um,Surface,Image 1,1,3052,
